dataset_name,file_id,algorithm_name,build_time_ms,query_time_ms,accuracy_percent,avg_dist_ratio,space_bytes
data_K100,1,BruteForce,0.318792,38.647459,100.0,1.0,404000
data_K100,1,KDTree_Exact,1.619416,31.339708,100.000000,1.000000,424000
data_K100,1,KDTree_Approx_BBF200,1.446500,5.935583,86.000000,1.019480,424000
data_K100,1,LSH_SumParity_l4_k5,0.862750,7.764792,65.000000,1.038879,431136
data_K100,2,BruteForce,0.154667,28.091292,100.0,1.0,404000
data_K100,2,KDTree_Exact,1.364875,29.396041,100.000000,1.000000,424000
data_K100,2,KDTree_Approx_BBF200,1.468208,5.960334,87.000000,1.021241,424000
data_K100,2,LSH_SumParity_l4_k5,0.902583,6.259167,53.000000,1.051251,431264
data_K100,3,BruteForce,0.226625,57.929292,100.0,1.0,404000
data_K100,3,KDTree_Exact,1.456375,28.728167,100.000000,1.000000,424000
data_K100,3,KDTree_Approx_BBF200,1.352000,5.869458,87.000000,1.023255,424000
data_K100,3,LSH_SumParity_l4_k5,0.799083,6.240792,58.000000,1.043924,430304
data_K100,4,BruteForce,0.150542,27.960625,100.0,1.0,404000
data_K100,4,KDTree_Exact,1.430791,29.565833,100.000000,1.000000,424000
data_K100,4,KDTree_Approx_BBF200,1.474583,6.123250,89.000000,1.021638,424000
data_K100,4,LSH_SumParity_l4_k5,0.804667,6.731250,50.000000,1.050125,430944
data_K100,5,BruteForce,0.195542,28.515125,100.0,1.0,404000
data_K100,5,KDTree_Exact,1.404834,29.925583,100.000000,1.000000,424000
data_K100,5,KDTree_Approx_BBF200,1.397625,6.050208,82.000000,1.024606,424000
data_K100,5,LSH_SumParity_l4_k5,0.992500,5.962208,42.000000,1.056939,430560
data_K100,6,BruteForce,0.146250,27.299917,100.0,1.0,404000
data_K100,6,KDTree_Exact,1.423667,28.791125,100.000000,1.000000,424000
data_K100,6,KDTree_Approx_BBF200,1.365459,6.242125,76.000000,1.026004,424000
data_K100,6,LSH_SumParity_l4_k5,0.798667,5.973334,56.000000,1.049038,430816
data_K100,7,BruteForce,0.152791,27.685625,100.0,1.0,404000
data_K100,7,KDTree_Exact,1.435250,29.320083,100.000000,1.000000,424000
data_K100,7,KDTree_Approx_BBF200,1.440375,6.189166,79.000000,1.026113,424000
data_K100,7,LSH_SumParity_l4_k5,0.813583,5.952458,66.000000,1.042200,431200
data_K100,8,BruteForce,0.151458,27.169750,100.0,1.0,404000
data_K100,8,KDTree_Exact,1.480125,28.522583,100.000000,1.000000,424000
data_K100,8,KDTree_Approx_BBF200,1.392834,6.164708,75.000000,1.027964,424000
data_K100,8,LSH_SumParity_l4_k5,0.796125,5.896792,49.000000,1.052547,430112
data_K100,9,BruteForce,0.153542,27.177166,100.0,1.0,404000
data_K100,9,KDTree_Exact,1.357459,28.459708,100.000000,1.000000,424000
data_K100,9,KDTree_Approx_BBF200,1.356042,5.989833,83.000000,1.022675,424000
data_K100,9,LSH_SumParity_l4_k5,0.817208,5.783917,59.000000,1.047936,430752
data_K100,10,BruteForce,0.153708,26.895708,100.0,1.0,404000
data_K100,10,KDTree_Exact,1.393291,28.652916,100.000000,1.000000,424000
data_K100,10,KDTree_Approx_BBF200,1.361334,5.993209,79.000000,1.025756,424000
data_K100,10,LSH_SumParity_l4_k5,0.893250,5.785750,46.000000,1.052845,430688
data_K100,11,BruteForce,0.148833,27.111958,100.0,1.0,404000
data_K100,11,KDTree_Exact,1.384459,28.876667,100.000000,1.000000,424000
data_K100,11,KDTree_Approx_BBF200,1.476542,5.938291,83.000000,1.023751,424000
data_K100,11,LSH_SumParity_l4_k5,0.847416,6.132500,57.000000,1.049991,430816
data_K100,12,BruteForce,0.170584,27.768625,100.0,1.0,404000
data_K100,12,KDTree_Exact,1.363708,28.728125,100.000000,1.000000,424000
data_K100,12,KDTree_Approx_BBF200,1.404458,5.870042,74.000000,1.027182,424000
data_K100,12,LSH_SumParity_l4_k5,0.958541,7.317583,57.000000,1.048074,430368
data_K100,13,BruteForce,0.188958,27.701666,100.0,1.0,404000
data_K100,13,KDTree_Exact,1.360000,28.897625,100.000000,1.000000,424000
data_K100,13,KDTree_Approx_BBF200,1.371583,6.105625,84.000000,1.024019,424000
data_K100,13,LSH_SumParity_l4_k5,0.780833,5.860875,60.000000,1.043825,430560
data_K100,14,BruteForce,0.151709,27.715458,100.0,1.0,404000
data_K100,14,KDTree_Exact,1.363542,29.028875,100.000000,1.000000,424000
data_K100,14,KDTree_Approx_BBF200,1.374083,6.042958,78.000000,1.023501,424000
data_K100,14,LSH_SumParity_l4_k5,0.808166,6.013500,53.000000,1.047132,430432
data_K100,15,BruteForce,0.152166,27.211958,100.0,1.0,404000
data_K100,15,KDTree_Exact,1.338666,28.374000,100.000000,1.000000,424000
data_K100,15,KDTree_Approx_BBF200,1.370375,5.983459,83.000000,1.024323,424000
data_K100,15,LSH_SumParity_l4_k5,0.800917,5.832583,48.000000,1.054460,431456
data_K100,16,BruteForce,0.184250,27.140042,100.0,1.0,404000
data_K100,16,KDTree_Exact,1.322958,28.889417,100.000000,1.000000,424000
data_K100,16,KDTree_Approx_BBF200,1.390125,5.799709,81.000000,1.027261,424000
data_K100,16,LSH_SumParity_l4_k5,0.856959,5.967750,54.000000,1.049270,431200
data_K100,17,BruteForce,0.149958,27.182625,100.0,1.0,404000
data_K100,17,KDTree_Exact,1.352791,28.771083,100.000000,1.000000,424000
data_K100,17,KDTree_Approx_BBF200,1.804166,5.885583,82.000000,1.026068,424000
data_K100,17,LSH_SumParity_l4_k5,0.792459,7.416625,62.000000,1.042451,431520
data_K100,18,BruteForce,0.148375,27.699667,100.0,1.0,404000
data_K100,18,KDTree_Exact,1.310916,28.739833,100.000000,1.000000,424000
data_K100,18,KDTree_Approx_BBF200,1.372750,6.009917,82.000000,1.021343,424000
data_K100,18,LSH_SumParity_l4_k5,0.827042,6.220125,55.000000,1.046121,430816
data_K100,19,BruteForce,0.158084,26.887459,100.0,1.0,404000
data_K100,19,KDTree_Exact,1.369375,28.656083,100.000000,1.000000,424000
data_K100,19,KDTree_Approx_BBF200,1.362875,5.869375,82.000000,1.022407,424000
data_K100,19,LSH_SumParity_l4_k5,0.871667,6.128250,50.000000,1.052314,431008
data_K100,20,BruteForce,0.180125,27.038000,100.0,1.0,404000
data_K100,20,KDTree_Exact,1.351792,28.596667,100.000000,1.000000,424000
data_K100,20,KDTree_Approx_BBF200,1.323375,5.877250,86.000000,1.023513,424000
data_K100,20,LSH_SumParity_l4_k5,0.811000,6.077541,57.000000,1.048722,430560
data_K100,21,BruteForce,0.157333,27.180041,100.0,1.0,404000
data_K100,21,KDTree_Exact,1.346583,29.139833,100.000000,1.000000,424000
data_K100,21,KDTree_Approx_BBF200,1.378125,6.001458,82.000000,1.020288,424000
data_K100,21,LSH_SumParity_l4_k5,0.854792,6.080125,56.000000,1.048639,430432
data_K100,22,BruteForce,0.164292,27.727750,100.0,1.0,404000
data_K100,22,KDTree_Exact,1.386625,29.712959,100.000000,1.000000,424000
data_K100,22,KDTree_Approx_BBF200,1.390959,6.217292,82.000000,1.024453,424000
data_K100,22,LSH_SumParity_l4_k5,0.796875,6.290542,51.000000,1.050654,430816
data_K100,23,BruteForce,0.150667,28.023333,100.0,1.0,404000
data_K100,23,KDTree_Exact,1.404875,29.698583,100.000000,1.000000,424000
data_K100,23,KDTree_Approx_BBF200,1.428208,6.313584,83.000000,1.024330,424000
data_K100,23,LSH_SumParity_l4_k5,0.837958,6.029167,55.000000,1.049111,431392
data_K100,24,BruteForce,0.156542,27.814584,100.0,1.0,404000
data_K100,24,KDTree_Exact,1.397500,29.777291,100.000000,1.000000,424000
data_K100,24,KDTree_Approx_BBF200,1.430875,6.347958,76.000000,1.029099,424000
data_K100,24,LSH_SumParity_l4_k5,0.827958,8.997375,62.000000,1.039879,429664
data_K100,25,BruteForce,0.153000,28.270583,100.0,1.0,404000
data_K100,25,KDTree_Exact,1.397084,29.454250,100.000000,1.000000,424000
data_K100,25,KDTree_Approx_BBF200,1.406958,6.071084,84.000000,1.021684,424000
data_K100,25,LSH_SumParity_l4_k5,0.855875,6.045667,56.000000,1.044567,431712
data_K100,26,BruteForce,0.160125,28.381167,100.0,1.0,404000
data_K100,26,KDTree_Exact,1.658250,29.330875,100.000000,1.000000,424000
data_K100,26,KDTree_Approx_BBF200,1.605667,5.984334,89.000000,1.023154,424000
data_K100,26,LSH_SumParity_l4_k5,0.786541,7.203583,67.000000,1.039358,430112
data_K100,27,BruteForce,0.153875,27.853375,100.0,1.0,404000
data_K100,27,KDTree_Exact,1.386792,28.986709,100.000000,1.000000,424000
data_K100,27,KDTree_Approx_BBF200,1.458042,5.824291,72.000000,1.030786,424000
data_K100,27,LSH_SumParity_l4_k5,0.792000,5.885584,48.000000,1.053924,430560
data_K100,28,BruteForce,0.157250,27.488250,100.0,1.0,404000
data_K100,28,KDTree_Exact,1.391709,29.352500,100.000000,1.000000,424000
data_K100,28,KDTree_Approx_BBF200,1.569750,5.777375,83.000000,1.021985,424000
data_K100,28,LSH_SumParity_l4_k5,0.797125,7.600375,63.000000,1.040367,430624
data_K100,29,BruteForce,0.154625,27.947416,100.0,1.0,404000
data_K100,29,KDTree_Exact,1.450625,29.564167,100.000000,1.000000,424000
data_K100,29,KDTree_Approx_BBF200,1.400292,5.986834,88.000000,1.018331,424000
data_K100,29,LSH_SumParity_l4_k5,0.846541,6.069291,59.000000,1.044917,431200
data_K100,30,BruteForce,0.151084,27.429333,100.0,1.0,404000
data_K100,30,KDTree_Exact,1.317750,29.517042,100.000000,1.000000,424000
data_K100,30,KDTree_Approx_BBF200,1.364208,5.776083,81.000000,1.023070,424000
data_K100,30,LSH_SumParity_l4_k5,0.776792,6.052958,51.000000,1.052232,431008
data_K100,31,BruteForce,0.153875,27.878792,100.0,1.0,404000
data_K100,31,KDTree_Exact,1.359125,29.027875,100.000000,1.000000,424000
data_K100,31,KDTree_Approx_BBF200,1.351958,5.821166,79.000000,1.026275,424000
data_K100,31,LSH_SumParity_l4_k5,0.777958,5.866250,51.000000,1.050487,431328
data_K100,32,BruteForce,0.156500,27.252042,100.0,1.0,404000
